team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Away,RECOVERY,SAVED,1,6600,660.0,6600,660.0,B25,,0.04,0.48,,,1
Away,PASS,PASS,1,6627,662.7,6653,665.3,B25,B15,0.06,0.5,0.17,0.75,1
Away,PASS,PASS,1,6658,665.8,6674,667.4,B15,B21,0.19,0.77,0.25,0.7,1
Away,PASS,PASS,1,6677,667.7,6697,669.7,B21,B15,0.25,0.71,0.3,0.9,1
Away,PASS,PASS,1,6705,670.5,6717,671.7,B15,B16,0.3,0.9,0.21,0.74,1
Away,PASS,PASS,1,6733,673.3,6748,674.8,B16,B20,0.24,0.71,0.3,0.45,1
Away,PASS,PASS,1,6788,678.8,6806,680.6,B20,B22,0.47,0.3,0.73,0.07,1
Away,PASS,PASS,1,6832,683.2,6840,684.0,B22,B24,0.84,0.17,0.83,0.36,1
Home,CHALLENGE,TACKLE-WON,1,6844,684.4,6844,684.4,A07,,0.83,0.39,,,1
Home,RECOVERY,THEFT,1,6844,684.4,6844,684.4,A07,,0.83,0.39,,,1
Home,BALL LOST,INTERCEPTION,1,6844,684.4,6863,686.3,A07,,0.83,0.39,0.79,0.35,1
Away,CHALLENGE,TACKLE-LOST,1,6846,684.6,6846,684.6,B24,,0.84,0.37,,,1
